mission,country,,details
Berlin,Germany,CHBotschaftDE,
Paris,France,AmbassadeSuisse,
Paris OECD,France,SwitzerlandOECD,
London,England,SwissEmbassyUK,
Brussels EU,Belgium,SwissmissionEU,
Sofia,Bulgaria,SwissBulgaria,
Rome,Italy,ambasciatasvizz,
Vienna OSCE,Austria,SwitzerlandOSCE,
Hague,Netherlands,Swiss_NL,
Dublin,Ireland,Swiss_IRL,
Warsaw,Poland,SwissPoland,
Warsaw,Poland,SwissEmbassyPL,
Prague,Czech Republic,SwissEmbassyCZ,
Dakar,Senegal,SuisseSenegal,
Cairo,Egypt,CH_Cairo,
Kiev,Ukraine,SwissUA,
New Delhi,India,SwissEmbassyIND,
Singapore,Singapore,Swiss_STO_SG,
Tokyo,Japan,SwissEmbassyJP,
Washington DC,United States,SwissEmbassyUSA,
Los Angeles CA,United States,SwissCGLA,
Atlanta GA,United States,SwissCGAtlanta,
New York NY,United States,SwissCGNY,
New York UN,United States,swiss_un,
Montreal,Canada,SwissEmbCanada,
Buenos Aires,Argentina,SuizaArgentina,
Bogota,Colombia,SuizaColombia,
Abu Dhabi,United Arab Emirates,SwissEmbassyUAE,
Riyadh,Saudi Arabia,SwissEmbassyKSA,
Kinshasa,Democratic Republic of the Congo,SuisseRDC,
Tehran,Iran,SwissEmbassyIr,
Algers,Algeria,Ambsuissealg,
Bamako,Mali,DDCMali,
Kuwait,Kuwait,SwissKuwait,
Ouagadougou,Burkina Faso,DDCBurkinaFaso,
Bekka,Lebanon,SWISS_BEKAA_H2O,
